responseid,familiar,crisis,reproducible,age,discipline,discipline-other,continent
2667,5 - Very familiar,yes,20,45 - 54,Chemistry,,North America
2669,5 - Very familiar,yes,20,25 - 34,Biology,,Europe
2670,5 - Very familiar,yes,70,35 - 44,Chemistry,,Europe
2672,4 - Fairly familiar,no,70,25 - 34,Chemistry,,Europe
2682,5 - Very familiar,yes,70,25 - 34,Chemistry,,North America
2689,5 - Very familiar,yes,80,25 - 34,Medicine,,North America
2696,5 - Very familiar,yes,30,45 - 54,Other,"Microbiology, biotechnology, engineering, material science",Europe
2697,5 - Very familiar,yes,80,65 or over,Chemistry,,North America
2703,5 - Very familiar,yes,80,18 - 24,Biology,,North America
2711,4 - Fairly familiar,yes,70,45 - 54,Other,Organizational Psychology,North America
2713,3 - Somewhat familiar,yes,90,25 - 34,Biology,,North America
2733,2 - Not very familiar,no,70,18 - 24,Engineering,,North America
2735,5 - Very familiar,yes,30,25 - 34,Engineering,,North America
2739,5 - Very familiar,yes,70,25 - 34,Biology,,North America
2740,3 - Somewhat familiar,yes,60,25 - 34,Chemistry,,Asia
2753,5 - Very familiar,yes,30,18 - 24,Biology,,South America
2763,5 - Very familiar,yes,60,25 - 34,Biology,,Europe
2764,3 - Somewhat familiar,yes,40,25 - 34,Biology,,Asia
2772,5 - Very familiar,yes,80,25 - 34,Medicine,,Asia
2773,5 - Very familiar,yes,50,25 - 34,Biology,,Australasia
2774,2 - Not very familiar,no,10,18 - 24,Biology,,Asia
2779,5 - Very familiar,yes,10,45 - 54,Physics,,Europe
2788,5 - Very familiar,yes,70,25 - 34,Biology,,Asia
2796,5 - Very familiar,yes,30,25 - 34,Materials Science,,Africa
2802,4 - Fairly familiar,yes,40,25 - 34,Materials Science,,Asia
2807,5 - Very familiar,yes,40,25 - 34,Biology,,Asia
2818,4 - Fairly familiar,yes,10,25 - 34,Other,Neuroscience,North America
2822,5 - Very familiar,yes,60,25 - 34,Biology,,Europe
2826,4 - Fairly familiar,yes,60,25 - 34,Biology,,Asia
2830,5 - Very familiar,yes,40,25 - 34,Other,Computer Science,Europe
2836,5 - Very familiar,yes,20,25 - 34,Other,Economics,North America
2839,5 - Very familiar,yes,80,25 - 34,Medicine,,Europe
2846,5 - Very familiar,yes,70,35 - 44,Materials Science,,South America
2852,4 - Fairly familiar,yes,70,35 - 44,Biology,,Europe
2853,4 - Fairly familiar,yes,40,25 - 34,Medicine,,Europe
2854,5 - Very familiar,yes,60,25 - 34,Medicine,,Europe
2862,5 - Very familiar,yes,30,65 or over,Chemistry,,Europe
2881,5 - Very familiar,yes,80,35 - 44,Biology,,Asia
2890,5 - Very familiar,no,60,35 - 44,Medicine,,Asia
2894,4 - Fairly familiar,no,50,25 - 34,Medicine,,Europe
2896,4 - Fairly familiar,yes,50,25 - 34,Earth Science,,North America
2913,4 - Fairly familiar,yes,60,45 - 54,Other,neuroscience,North America
2920,5 - Very familiar,yes,70,25 - 34,Chemistry,,Europe
2927,5 - Very familiar,yes,70,35 - 44,Other,Psychology,Australasia
2932,5 - Very familiar,yes,40,25 - 34,Biology,,North America
2935,5 - Very familiar,yes,60,25 - 34,Materials Science,,Asia
2940,5 - Very familiar,yes,80,25 - 34,Physics,,Europe
2947,5 - Very familiar,yes,40,25 - 34,Biology,,North America
2961,4 - Fairly familiar,yes,70,55 - 64,Other,Epidemiology,Australasia
2975,4 - Fairly familiar,yes,50,25 - 34,Biology,,Europe
2981,5 - Very familiar,yes,60,35 - 44,Medicine,,Europe
2983,5 - Very familiar,yes,40,25 - 34,Chemistry,,Europe
2985,4 - Fairly familiar,yes,20,35 - 44,Biology,,Australasia
2991,5 - Very familiar,yes,80,25 - 34,Biology,,Europe
2994,5 - Very familiar,yes,30,25 - 34,Other,Psychology,Australasia
3000,5 - Very familiar,yes,80,25 - 34,Biology,,Australasia
3003,5 - Very familiar,yes,50,25 - 34,Biology,,Europe
3004,3 - Somewhat familiar,yes,80,25 - 34,Medicine,,Asia
3006,4 - Fairly familiar,yes,70,55 - 64,Earth Science,,Europe
3019,4 - Fairly familiar,yes,30,35 - 44,Physics,,Europe
3032,3 - Somewhat familiar,yes,20,25 - 34,Engineering,,Europe
3040,5 - Very familiar,yes,50,25 - 34,Medicine,,Europe
3041,5 - Very familiar,yes,50,18 - 24,Other,Psychology,North America
3050,4 - Fairly familiar,yes,80,55 - 64,Medicine,,Europe
3055,5 - Very familiar,yes,50,35 - 44,Biology,,Europe
3060,4 - Fairly familiar,yes,40,18 - 24,Biology,,North America
3063,4 - Fairly familiar,yes,30,35 - 44,Biology,,North America
3067,4 - Fairly familiar,yes,70,55 - 64,Biology,,North America
3070,4 - Fairly familiar,yes,70,25 - 34,Medicine,,North America
3073,5 - Very familiar,yes,80,45 - 54,Biology,,Europe
3075,4 - Fairly familiar,yes,30,25 - 34,Other,Psychology,Europe
3088,5 - Very familiar,yes,60,55 - 64,Medicine,,Europe
3090,5 - Very familiar,no,80,45 - 54,Biology,,North America
3109,5 - Very familiar,yes,70,25 - 34,Biology,,Europe
3111,5 - Very familiar,yes,20,25 - 34,Biology,,North America
3116,5 - Very familiar,no,90,55 - 64,Biology,,North America
3118,5 - Very familiar,yes,80,45 - 54,Other,Physiology,North America
3119,5 - Very familiar,yes,40,25 - 34,Biology,,North America
3127,4 - Fairly familiar,yes,80,55 - 64,Physics,,Europe
3130,5 - Very familiar,yes,10,45 - 54,Other,social sciences,North America
3133,4 - Fairly familiar,yes,60,45 - 54,Medicine,,Europe
3135,5 - Very familiar,yes,70,25 - 34,Biology,,North America
3138,4 - Fairly familiar,yes,80,45 - 54,Biology,,North America
3139,5 - Very familiar,yes,50,35 - 44,Other,nursing,North America
3140,5 - Very familiar,yes,30,45 - 54,Medicine,,South America
3145,5 - Very familiar,yes,50,45 - 54,Biology,,Australasia
3155,5 - Very familiar,yes,80,18 - 24,Biology,,North America
3158,5 - Very familiar,yes,60,55 - 64,Biology,,Australasia
3166,4 - Fairly familiar,yes,70,25 - 34,Biology,,North America
3176,5 - Very familiar,yes,30,25 - 34,Biology,,North America
3178,4 - Fairly familiar,yes,70,25 - 34,Chemistry,,North America
3182,5 - Very familiar,yes,70,25 - 34,Biology,,North America
3199,5 - Very familiar,yes,20,65 or over,Materials Science,,Asia
3201,5 - Very familiar,yes,30,25 - 34,Biology,,North America
3202,4 - Fairly familiar,yes,60,35 - 44,Medicine,,North America
3204,5 - Very familiar,yes,40,65 or over,Biology,,Europe
3212,5 - Very familiar,yes,40,35 - 44,Other,psychology,Asia
3216,4 - Fairly familiar,yes,50,25 - 34,Biology,,Europe
3226,4 - Fairly familiar,yes,70,18 - 24,Biology,,North America
3230,5 - Very familiar,yes,70,35 - 44,Other,Psychology and neuroscience,Europe
3233,4 - Fairly familiar,yes,70,35 - 44,Materials Science,,Asia
3235,5 - Very familiar,yes,50,55 - 64,Biology,,Asia
3242,4 - Fairly familiar,yes,50,25 - 34,Medicine,,Europe
3245,5 - Very familiar,yes,70,35 - 44,Biology,,Asia
3259,5 - Very familiar,yes,40,35 - 44,Biology,,Europe
3268,5 - Very familiar,yes,30,45 - 54,Biology,,Europe
3273,5 - Very familiar,yes,60,65 or over,Biology,,Europe
3292,5 - Very familiar,yes,50,25 - 34,Biology,,North America
3322,5 - Very familiar,yes,70,45 - 54,Biology,,Europe
3325,4 - Fairly familiar,yes,70,25 - 34,Medicine,,North America
3327,5 - Very familiar,yes,50,25 - 34,Medicine,,Europe
3328,5 - Very familiar,yes,30,35 - 44,Biology,,Europe
3329,4 - Fairly familiar,yes,80,65 or over,Materials Science,,Australasia
3330,3 - Somewhat familiar,yes,80,25 - 34,Materials Science,,North America
3331,5 - Very familiar,yes,10,25 - 34,Medicine,,Europe
3334,5 - Very familiar,yes,40,35 - 44,Chemistry,,Europe
3336,5 - Very familiar,yes,60,25 - 34,Biology,,North America
3337,5 - Very familiar,yes,60,18 - 24,Biology,,Africa
3339,3 - Somewhat familiar,yes,10,25 - 34,Engineering,,North America
3340,3 - Somewhat familiar,yes,50,45 - 54,Medicine,,Asia
3349,4 - Fairly familiar,yes,80,35 - 44,Biology,,Europe
3350,5 - Very familiar,yes,50,35 - 44,Biology,,Europe
3351,5 - Very familiar,yes,80,45 - 54,Earth Science,,Europe
3352,5 - Very familiar,no,10,55 - 64,Engineering,,North America
3354,5 - Very familiar,yes,70,35 - 44,Medicine,,South America
3355,4 - Fairly familiar,yes,90,25 - 34,Medicine,,Europe
3359,3 - Somewhat familiar,yes,60,25 - 34,Medicine,,Europe
3360,5 - Very familiar,yes,90,55 - 64,Physics,,Europe
3362,5 - Very familiar,yes,40,55 - 64,Biology,,Europe
3363,5 - Very familiar,yes,90,65 or over,Earth Science,,Europe
3364,5 - Very familiar,no,30,25 - 34,Other,Biomedical,Europe
3366,4 - Fairly familiar,yes,80,25 - 34,Biology,,North America
3367,4 - Fairly familiar,yes,60,25 - 34,Biology,,Asia
3368,5 - Very familiar,yes,70,35 - 44,Biology,,Europe
3369,3 - Somewhat familiar,yes,60,55 - 64,Other,Diagnostic,South America
3373,5 - Very familiar,no,70,45 - 54,Earth Science,,Europe
3375,5 - Very familiar,yes,60,35 - 44,Physics,,Europe
3376,5 - Very familiar,yes,90,65 or over,Biology,,North America
3378,4 - Fairly familiar,yes,80,55 - 64,Engineering,,Europe
3379,3 - Somewhat familiar,no,60,18 - 24,Other,Pharmacology,Europe
3382,5 - Very familiar,yes,60,25 - 34,Biology,,Europe
3388,4 - Fairly familiar,yes,90,55 - 64,Biology,,North America
3389,5 - Very familiar,yes,30,25 - 34,Biology,,Europe
3393,5 - Very familiar,yes,60,55 - 64,Biology,,South America
3395,5 - Very familiar,yes,60,25 - 34,Materials Science,,Europe
3399,3 - Somewhat familiar,yes,90,35 - 44,Other,mathematics,Europe
3401,4 - Fairly familiar,yes,70,25 - 34,Materials Science,,Asia
3403,4 - Fairly familiar,yes,60,55 - 64,Physics,,Europe
3405,4 - Fairly familiar,yes,50,25 - 34,Biology,,Europe
3408,5 - Very familiar,no,80,55 - 64,Biology,,North America
3409,5 - Very familiar,yes,50,35 - 44,Other,Cancer Research,Europe
3410,3 - Somewhat familiar,yes,50,45 - 54,Engineering,,South America
3412,4 - Fairly familiar,yes,70,65 or over,Physics,,Europe
3414,5 - Very familiar,yes,60,25 - 34,Biology,,Europe
3415,5 - Very familiar,yes,90,55 - 64,Physics,,Europe
3416,5 - Very familiar,yes,70,55 - 64,Biology,,South America
3417,5 - Very familiar,yes,80,25 - 34,Biology,,North America
3419,5 - Very familiar,yes,70,25 - 34,Engineering,,Europe
3420,5 - Very familiar,yes,40,25 - 34,Biology,,Europe
3423,5 - Very familiar,yes,10,65 or over,Physics,,Asia
3426,5 - Very familiar,yes,30,18 - 24,Other,Biochemistry,Europe
3428,5 - Very familiar,yes,70,25 - 34,Biology,,North America
3431,5 - Very familiar,yes,70,45 - 54,Physics,,Europe
3435,5 - Very familiar,yes,30,35 - 44,Earth Science,,Europe
3436,3 - Somewhat familiar,yes,80,65 or over,Physics,,Europe
3437,5 - Very familiar,yes,50,18 - 24,Biology,,North America
3438,5 - Very familiar,yes,70,25 - 34,Biology,,North America
3439,4 - Fairly familiar,yes,30,25 - 34,Biology,,Europe
3440,4 - Fairly familiar,yes,50,35 - 44,Biology,,North America
3450,5 - Very familiar,yes,60,35 - 44,Biology,,North America
3451,5 - Very familiar,yes,70,25 - 34,Earth Science,,North America
3455,4 - Fairly familiar,yes,70,25 - 34,Biology,,South America
3460,5 - Very familiar,no,70,25 - 34,Medicine,,North America
3461,4 - Fairly familiar,no,90,25 - 34,Biology,,Asia
3462,5 - Very familiar,yes,70,55 - 64,Biology,,North America
3468,5 - Very familiar,yes,70,25 - 34,Biology,,Europe
3470,5 - Very familiar,yes,80,45 - 54,Biology,,Europe
3471,4 - Fairly familiar,yes,80,25 - 34,Biology,,North America
3472,5 - Very familiar,yes,90,25 - 34,Medicine,,Asia
3473,3 - Somewhat familiar,no,60,25 - 34,Physics,,Europe
3474,5 - Very familiar,yes,70,25 - 34,Biology,,North America
3477,5 - Very familiar,yes,0,35 - 44,Other,Neuroscience,Europe
3479,5 - Very familiar,no,50,25 - 34,Biology,,Europe
3480,5 - Very familiar,yes,70,45 - 54,Physics,,Europe
3481,4 - Fairly familiar,yes,50,25 - 34,Biology,,Europe
3488,5 - Very familiar,yes,90,55 - 64,Physics,,Europe
3489,5 - Very familiar,yes,50,25 - 34,Biology,,Europe
3490,4 - Fairly familiar,yes,70,18 - 24,Biology,,Europe
3491,5 - Very familiar,yes,70,45 - 54,Biology,,South America
3494,5 - Very familiar,yes,90,65 or over,Materials Science,,Europe
3498,4 - Fairly familiar,yes,40,25 - 34,Medicine,,Asia
3499,4 - Fairly familiar,yes,40,35 - 44,Materials Science,,Europe
3501,5 - Very familiar,yes,90,55 - 64,Biology,,Europe
3507,5 - Very familiar,yes,80,65 or over,Biology,,North America
3508,5 - Very familiar,yes,70,25 - 34,Biology,,Europe
3511,5 - Very familiar,yes,40,25 - 34,Biology,,Europe
3512,5 - Very familiar,yes,80,55 - 64,Biology,,Europe
3514,5 - Very familiar,yes,40,25 - 34,Biology,,Europe
3518,5 - Very familiar,yes,70,25 - 34,Biology,,Europe
3519,5 - Very familiar,yes,70,65 or over,Other,"radiation genetics,molecular biology",Europe
3520,5 - Very familiar,yes,80,35 - 44,Biology,,Europe
3524,5 - Very familiar,yes,20,55 - 64,Biology,,North America
3527,5 - Very familiar,yes,10,35 - 44,Biology,,North America
3530,5 - Very familiar,yes,30,35 - 44,Other,Neuroscience,North America
3532,4 - Fairly familiar,yes,40,35 - 44,Biology,,North America
3534,5 - Very familiar,yes,90,35 - 44,Earth Science,,South America
3536,4 - Fairly familiar,yes,70,18 - 24,Materials Science,,Asia
3538,5 - Very familiar,yes,50,65 or over,Biology,,North America
3539,5 - Very familiar,yes,30,25 - 34,Biology,,North America
3540,5 - Very familiar,yes,80,35 - 44,Biology,,Europe
3545,5 - Very familiar,yes,70,35 - 44,Biology,,North America
3547,5 - Very familiar,yes,70,45 - 54,Biology,,Europe
3548,5 - Very familiar,yes,10,25 - 34,Biology,,Asia
3549,5 - Very familiar,yes,90,45 - 54,Biology,,Europe
3550,5 - Very familiar,yes,50,45 - 54,Medicine,,Asia
3551,5 - Very familiar,yes,50,35 - 44,Medicine,,Europe
3552,5 - Very familiar,yes,60,35 - 44,Biology,,North America
3555,5 - Very familiar,yes,40,35 - 44,Chemistry,,Europe
3558,5 - Very familiar,yes,50,35 - 44,Other,Chemistry and Material Science,Europe
3559,4 - Fairly familiar,yes,80,25 - 34,Other,computation,South America
3563,5 - Very familiar,yes,30,25 - 34,Other,Psychology and Neuroscience,South America
3568,5 - Very familiar,yes,70,25 - 34,Biology,,North America
3571,5 - Very familiar,yes,70,25 - 34,Biology,,North America
3574,3 - Somewhat familiar,yes,50,35 - 44,Biology,,North America
3584,5 - Very familiar,yes,70,25 - 34,Biology,,North America
3593,5 - Very familiar,yes,90,35 - 44,Biology,,North America
3595,5 - Very familiar,yes,60,45 - 54,Medicine,,Europe
3603,5 - Very familiar,yes,80,25 - 34,Physics,,South America
3609,5 - Very familiar,no,70,35 - 44,Earth Science,,South America
3612,5 - Very familiar,yes,30,25 - 34,Biology,,North America
3613,5 - Very familiar,no,80,55 - 64,Chemistry,,North America
3615,5 - Very familiar,yes,20,45 - 54,Physics,,Europe
3617,5 - Very familiar,yes,50,45 - 54,Medicine,,Europe
3618,5 - Very familiar,yes,50,35 - 44,Other,Neuroscience,North America
3624,4 - Fairly familiar,yes,60,45 - 54,Materials Science,,North America
3625,3 - Somewhat familiar,yes,70,18 - 24,Medicine,,South America
3626,4 - Fairly familiar,yes,80,25 - 34,Biology,,Asia
3627,5 - Very familiar,yes,70,25 - 34,Biology,,North America
3632,4 - Fairly familiar,yes,80,45 - 54,Other,Social Science,Europe
3634,5 - Very familiar,yes,30,45 - 54,Medicine,,Europe
3636,3 - Somewhat familiar,yes,0,65 or over,Other,Cybernetics,North America
3645,5 - Very familiar,no,70,25 - 34,Biology,,South America
3647,5 - Very familiar,yes,70,25 - 34,Medicine,,North America
3648,5 - Very familiar,yes,60,45 - 54,Biology,,North America
3649,3 - Somewhat familiar,yes,20,25 - 34,Engineering,,Asia
3650,3 - Somewhat familiar,yes,70,35 - 44,Medicine,,North America
3657,5 - Very familiar,yes,20,35 - 44,Earth Science,,Europe
3660,5 - Very familiar,yes,30,45 - 54,Biology,,Europe
3661,5 - Very familiar,yes,90,55 - 64,Chemistry,,North America
3663,5 - Very familiar,yes,60,18 - 24,Other,Psychology,North America
3665,5 - Very familiar,yes,90,65 or over,Other,"Interdisciplinary: Biology, Medicine, Computer Science; Education and Social/Behaviorial Sciences, Neurosciences",North America
3669,5 - Very familiar,yes,70,25 - 34,Chemistry,,Europe
3670,5 - Very familiar,yes,40,35 - 44,Medicine,,Europe
3671,5 - Very familiar,yes,80,25 - 34,Biology,,North America
3672,5 - Very familiar,yes,70,35 - 44,Biology,,North America
3674,4 - Fairly familiar,yes,80,25 - 34,Other,biochemistry,North America
3676,5 - Very familiar,yes,100,25 - 34,Biology,,South America
3677,5 - Very familiar,yes,50,25 - 34,Medicine,,Europe
3678,5 - Very familiar,yes,50,55 - 64,Biology,,North America
3679,5 - Very familiar,yes,80,45 - 54,Biology,,North America
3686,5 - Very familiar,no,50,45 - 54,Other,Social Science,Europe
3687,5 - Very familiar,yes,50,45 - 54,Biology,,North America
3688,5 - Very familiar,yes,70,25 - 34,Biology,,North America
3691,4 - Fairly familiar,yes,50,25 - 34,Biology,,North America
3698,5 - Very familiar,yes,70,25 - 34,Biology,,Europe
3701,5 - Very familiar,yes,70,35 - 44,Biology,,North America
3706,5 - Very familiar,yes,90,25 - 34,Medicine,,Europe
3709,4 - Fairly familiar,yes,60,25 - 34,Biology,,South America
3714,3 - Somewhat familiar,yes,30,18 - 24,Biology,,Europe
3726,5 - Very familiar,no,70,25 - 34,Engineering,,North America
3730,5 - Very familiar,yes,50,25 - 34,Physics,,North America
3731,3 - Somewhat familiar,yes,50,45 - 54,Chemistry,,Asia
3735,5 - Very familiar,no,90,18 - 24,Biology,,Asia
3740,5 - Very familiar,yes,20,25 - 34,Biology,,North America
3742,5 - Very familiar,yes,60,25 - 34,Biology,,North America
3749,5 - Very familiar,yes,10,35 - 44,Medicine,,North America
3750,5 - Very familiar,yes,80,35 - 44,Physics,,Australasia
3754,5 - Very familiar,yes,30,35 - 44,Materials Science,,Australasia
3763,5 - Very familiar,yes,40,35 - 44,Biology,,North America
3765,5 - Very familiar,yes,40,55 - 64,Physics,,North America
3767,5 - Very familiar,yes,70,55 - 64,Biology,,Australasia
3768,5 - Very familiar,yes,50,35 - 44,Biology,,North America
3775,5 - Very familiar,yes,50,45 - 54,Biology,,North America
3778,4 - Fairly familiar,yes,40,65 or over,Earth Science,,North America
3782,3 - Somewhat familiar,yes,10,55 - 64,Biology,,North America
3790,5 - Very familiar,yes,50,55 - 64,Medicine,,Australasia
3792,5 - Very familiar,yes,50,45 - 54,Biology,,Asia
3796,5 - Very familiar,yes,70,55 - 64,Earth Science,,South America
3799,5 - Very familiar,yes,30,55 - 64,Earth Science,,North America
3800,5 - Very familiar,yes,90,55 - 64,Other,interdisciplinary biology - chemistry,North America
3803,3 - Somewhat familiar,yes,40,25 - 34,Biology,,Asia
3804,5 - Very familiar,yes,60,25 - 34,Materials Science,,Asia
3805,2 - Not very familiar,yes,90,45 - 54,Medicine,,Asia
3810,2 - Not very familiar,yes,70,45 - 54,Biology,,Europe
3811,5 - Very familiar,yes,50,45 - 54,Biology,,Australasia
3813,5 - Very familiar,yes,80,25 - 34,Biology,,Asia
3815,2 - Not very familiar,yes,80,35 - 44,Medicine,,Asia
3816,2 - Not very familiar,yes,20,18 - 24,Biology,,Asia
3817,4 - Fairly familiar,yes,80,25 - 34,Biology,,Australasia
3819,3 - Somewhat familiar,yes,50,18 - 24,Medicine,,Asia
3823,4 - Fairly familiar,yes,90,25 - 34,Biology,,Asia
3826,4 - Fairly familiar,yes,30,25 - 34,Physics,,Asia
3829,3 - Somewhat familiar,yes,80,25 - 34,Other,navigation,Asia
3832,5 - Very familiar,yes,50,25 - 34,Engineering,,South America
3833,5 - Very familiar,yes,50,25 - 34,Engineering,,Asia
3839,5 - Very familiar,yes,60,25 - 34,Engineering,,Asia
3840,3 - Somewhat familiar,yes,80,25 - 34,Chemistry,,Asia
3849,4 - Fairly familiar,yes,30,35 - 44,Medicine,,Asia
3852,5 - Very familiar,yes,70,35 - 44,Materials Science,,Asia
3853,3 - Somewhat familiar,yes,60,25 - 34,Earth Science,,Asia
3854,4 - Fairly familiar,yes,40,18 - 24,Other,Psychology,North America
3857,5 - Very familiar,yes,90,45 - 54,Biology,,Asia
3862,3 - Somewhat familiar,no,90,35 - 44,Medicine,,Asia
3863,5 - Very familiar,yes,80,45 - 54,Medicine,,Australasia
3867,4 - Fairly familiar,yes,80,35 - 44,Engineering,,Asia
3870,4 - Fairly familiar,yes,80,25 - 34,Physics,,Asia
3872,4 - Fairly familiar,yes,70,65 or over,Earth Science,,Europe
3873,5 - Very familiar,yes,60,35 - 44,Biology,,South America
3874,5 - Very familiar,yes,60,25 - 34,Medicine,,Asia
3876,5 - Very familiar,yes,80,25 - 34,Astonomy,,Asia
3880,2 - Not very familiar,yes,80,45 - 54,Engineering,,Asia
3887,5 - Very familiar,yes,70,35 - 44,Biology,,Europe
3888,5 - Very familiar,yes,90,35 - 44,Physics,,Asia
3894,4 - Fairly familiar,yes,60,35 - 44,Biology,,Asia
3895,4 - Fairly familiar,yes,70,25 - 34,Biology,,Europe
3897,5 - Very familiar,yes,80,35 - 44,Biology,,Europe
3902,5 - Very familiar,yes,30,25 - 34,Biology,,Asia
3910,3 - Somewhat familiar,yes,10,18 - 24,Materials Science,,Asia
3912,4 - Fairly familiar,yes,30,25 - 34,Other,Political Science,North America
3914,3 - Somewhat familiar,yes,60,18 - 24,Other,pharmacy ,Asia
3918,5 - Very familiar,yes,40,35 - 44,Biology,,Asia
3934,3 - Somewhat familiar,yes,90,25 - 34,Chemistry,,Asia
3937,4 - Fairly familiar,yes,30,25 - 34,Biology,,Asia
3942,5 - Very familiar,yes,70,55 - 64,Biology,,Asia
3948,4 - Fairly familiar,yes,70,55 - 64,Medicine,,Europe
3949,4 - Fairly familiar,yes,80,25 - 34,Chemistry,,Europe
3950,5 - Very familiar,yes,40,35 - 44,Biology,,Europe
3951,5 - Very familiar,yes,70,25 - 34,Biology,,Europe
3952,4 - Fairly familiar,yes,40,25 - 34,Chemistry,,Europe
3953,4 - Fairly familiar,yes,80,25 - 34,Earth Science,,Europe
3954,5 - Very familiar,yes,60,55 - 64,Biology,,Europe
3957,2 - Not very familiar,yes,80,25 - 34,Physics,,Asia
3961,5 - Very familiar,yes,10,25 - 34,Medicine,,Asia
3963,4 - Fairly familiar,yes,50,18 - 24,Biology,,Europe
3967,4 - Fairly familiar,no,90,55 - 64,Medicine,,Australasia
3969,3 - Somewhat familiar,yes,70,18 - 24,Biology,,Asia
3970,5 - Very familiar,yes,40,25 - 34,Engineering,,Europe
3979,5 - Very familiar,yes,80,65 or over,Other,Metrology,Europe
3980,3 - Somewhat familiar,yes,60,25 - 34,Biology,,Asia
3986,4 - Fairly familiar,yes,90,35 - 44,Physics,,Europe
3994,4 - Fairly familiar,yes,80,55 - 64,Materials Science,,Europe
3998,5 - Very familiar,yes,90,55 - 64,Biology,,South America
4005,5 - Very familiar,yes,0,35 - 44,Other,Computer Science,Europe
4006,5 - Very familiar,yes,30,45 - 54,Physics,,Europe
4013,5 - Very familiar,yes,50,18 - 24,Biology,,Europe
4014,3 - Somewhat familiar,yes,50,25 - 34,Medicine,,Asia
4021,5 - Very familiar,yes,80,35 - 44,Medicine,,Australasia
4025,5 - Very familiar,yes,70,55 - 64,Medicine,,Europe
4026,3 - Somewhat familiar,yes,60,25 - 34,Biology,,Europe
4030,4 - Fairly familiar,no,100,25 - 34,Other,Neuroscience,North America
4034,4 - Fairly familiar,yes,90,55 - 64,Engineering,,Europe
4037,5 - Very familiar,yes,60,18 - 24,Biology,,North America
4047,5 - Very familiar,yes,90,45 - 54,Physics,,Australasia
4049,5 - Very familiar,yes,60,45 - 54,Medicine,,Africa
4053,4 - Fairly familiar,yes,60,65 or over,Biology,,Asia
4064,5 - Very familiar,yes,100,65 or over,Biology,,North America
4065,3 - Somewhat familiar,no,70,65 or over,Earth Science,,Europe
4069,5 - Very familiar,yes,60,25 - 34,Biology,,North America
4074,5 - Very familiar,yes,30,55 - 64,Medicine,,North America
4076,5 - Very familiar,yes,80,25 - 34,Medicine,,North America
4078,5 - Very familiar,yes,50,55 - 64,Medicine,,North America
4079,4 - Fairly familiar,yes,70,25 - 34,Physics,,North America
4083,5 - Very familiar,yes,70,25 - 34,Astonomy,,South America
4085,3 - Somewhat familiar,yes,70,45 - 54,Physics,,Europe
4092,5 - Very familiar,yes,70,25 - 34,Biology,,North America
4096,5 - Very familiar,no,70,35 - 44,Biology,,South America
4097,4 - Fairly familiar,yes,80,45 - 54,Biology,,South America
4103,4 - Fairly familiar,yes,60,25 - 34,Biology,,North America
4112,5 - Very familiar,yes,40,25 - 34,Medicine,,Africa
4115,5 - Very familiar,yes,70,18 - 24,Biology,,North America
4121,5 - Very familiar,no,90,35 - 44,Engineering,,Europe
4130,4 - Fairly familiar,yes,30,25 - 34,Medicine,,Europe
4131,5 - Very familiar,yes,80,18 - 24,Materials Science,,North America
4132,2 - Not very familiar,no,30,25 - 34,Other,Clinical Biochemistry,Asia
4134,4 - Fairly familiar,yes,90,45 - 54,Medicine,,Europe
4136,5 - Very familiar,yes,90,35 - 44,Earth Science,,North America
4139,2 - Not very familiar,no,80,65 or over,Physics,,Europe
4144,5 - Very familiar,yes,50,35 - 44,Biology,,North America
4150,5 - Very familiar,yes,40,25 - 34,Other,Communication,North America
4156,5 - Very familiar,yes,20,25 - 34,Biology,,Europe
4187,5 - Very familiar,yes,50,45 - 54,Medicine,,North America
4196,3 - Somewhat familiar,yes,60,25 - 34,Biology,,North America
4199,4 - Fairly familiar,yes,10,25 - 34,Biology,,North America
4201,5 - Very familiar,yes,80,35 - 44,Chemistry,,North America
4203,1 -Not at all familiar,yes,50,18 - 24,Earth Science,,Europe
4208,1 -Not at all familiar,yes,50,25 - 34,Physics,,North America
